SETTLEMENTDATE,RRP,DAYTYPE,MONTH,HOUR,YEAR,DAY
2022-01-01 00:00,121.2066667,0,1,1,2022,1
2022-01-01 01:00,96.77916667,0,1,2,2022,1
2022-01-01 02:00,96.44416667,0,1,3,2022,1
2022-01-01 03:00,91.7275,0,1,4,2022,1
2022-01-01 04:00,73.03166667,0,1,5,2022,1
2022-01-01 05:00,63.15,0,1,6,2022,1
2022-01-01 06:00,21.5,0,1,7,2022,1
2022-01-01 07:00,16.96416667,0,1,8,2022,1
2022-01-01 08:00,56.8,0,1,9,2022,1
2022-01-01 09:00,49.61583333,0,1,10,2022,1
2022-01-01 10:00,33.4075,0,1,11,2022,1
2022-01-01 11:00,67.67,0,1,12,2022,1
2022-01-01 12:00,74.96083333,0,1,13,2022,1
2022-01-01 13:00,79.9925,0,1,14,2022,1
2022-01-01 14:00,89.52833333,0,1,15,2022,1
2022-01-01 15:00,104.17,0,1,16,2022,1
2022-01-01 16:00,71.39916667,0,1,17,2022,1
2022-01-01 17:00,74.49833333,0,1,18,2022,1
2022-01-01 18:00,113.7816667,0,1,19,2022,1
2022-01-01 19:00,117.0725,0,1,20,2022,1
2022-01-01 20:00,108.1458333,0,1,21,2022,1
2022-01-01 21:00,91.5875,0,1,22,2022,1
2022-01-01 22:00,102.78,0,1,23,2022,1
2022-01-01 23:00,94.8125,0,1,24,2022,1
2022-01-02 00:00,93.9375,0,1,1,2022,2
2022-01-02 01:00,102.825,0,1,2,2022,2
2022-01-02 02:00,94.31916667,0,1,3,2022,2
2022-01-02 03:00,105.3508333,0,1,4,2022,2
2022-01-02 04:00,91.12666667,0,1,5,2022,2
2022-01-02 05:00,90.31333333,0,1,6,2022,2
2022-01-02 06:00,53.74666667,0,1,7,2022,2
2022-01-02 07:00,27.34333333,0,1,8,2022,2
2022-01-02 08:00,26.88583333,0,1,9,2022,2
2022-01-02 09:00,17.28833333,0,1,10,2022,2
2022-01-02 10:00,35.40833333,0,1,11,2022,2
2022-01-02 11:00,70.93166667,0,1,12,2022,2
2022-01-02 12:00,44.6825,0,1,13,2022,2
